bos	- boston-celtics
bkn	- brooklyn-nets
ny	- new-york-knicks
phi	- philadelphia-76ers
tor	- toronto-raptors
chi	- chicago-bulls
cle	- cleveland-cavaliers
det	- detroit-pistons
ind	- indiana-pacers
mil	- milwaukee-bucks
atl	- atlanta-hawks
cha	- charlotte-hornets
mia	- miami-heat
orl	- orlando-magic
wsh	- washington-wizards
gs	- golden-state-warriors
lac	- la-clippers
lal	- los-angeles-lakers
phx	- phoenix-suns
sac	- sacramento-kings
dal	- dallas-mavericks
hou	- houston-rockets
mem	- memphis-grizzlies
no	- new-orleans-pelicans
sa	- san-antonio-spurs
den	- denver-nuggets
min	- minnesota-timberwolves
okc	- oklahoma-city-thunder
por	- portland-trail-blazers
utah - utah-jazz
